PROPERTYID,ENTERPRISEID,ADDRESS,STATEID,STATE,CITY,SQFT,PURCHASE_DATE,PURCHASE_PRICE,CAPRATE,PORFOLIOID,ENTITYADMINID,TYPETENANT,STATUS,PORTFOLIO
12,54.0,Property_0012,IL,Illinois,Danville,13500.0,2014-10-15 00:00:00,2575000.0,7.097475728155338,1,6,0,5,L2-ALL
120,133.0,Property_0120,MN,Minnesota,Rochester,70722.0,2018-11-05 00:00:00,11500000.0,7.49395652173913,1,6,0,5,L2-ALL
121,139.0,Property_0121,TN,Tennessee,Hendersonville,10125.0,2018-10-31 00:00:00,2375000.0,7.272968421052632,1,6,0,5,L2-ALL
122,145.0,Property_0122,WI,Wisconsin,Milwaukee,13000.0,2018-11-13 00:00:00,2616363.0,7.149998681375635,1,6,0,5,L2-ALL
123,144.0,Property_0123,MO,Missouri,St. Charles,15120.0,2018-11-14 00:00:00,4390000.0,7.220957630979497,1,6,0,5,L2-ALL
124,148.0,Property_0124,NC,North Carolina,Hickory,14560.0,2018-12-27 00:00:00,4185714.0,7.0000014334471965,1,6,0,5,L2-ALL
125,147.0,Property_0125,TX,Texas,Dayton,14259.0,2019-01-16 00:00:00,4442000.0,6.551103106708689,1,6,0,5,L2-ALL
126,147.0,Property_0126,IN,Indiana,Kokomo,14490.0,2019-01-16 00:00:00,4651851.0,6.750001236067105,1,6,0,5,L2-ALL
127,,Property_0127,TX,Texas,Abilene,15120.0,2014-10-24 00:00:00,4742850.0,7.00001054218455,1,6,0,6,L2-ALL
128,,Property_0128,TX,Texas,Amarillo,15120.0,2015-03-05 00:00:00,3650000.0,6.712328767123288,1,6,0,7,L2-ALL
129,,Property_0129,MD,Maryland,Baltimore,13905.0,2015-02-02 00:00:00,4552239.0,6.699999714426241,1,6,0,7,L2-ALL
13,55.0,Property_0013,IA,Iowa,Marshalltown,13000.0,2015-01-06 00:00:00,2070000.0,6.760724637681159,1,6,0,5,L2-ALL
130,,Property_0130,IL,Illinois,Bannockburn,56745.0,2015-05-01 00:00:00,11000000.0,6.19036363636364,1,6,0,7,L2-ALL
131,,Property_0131,ID,Idaho,Boise,13905.0,2014-04-25 00:00:00,6100000.0,6.688524590163934,1,6,0,7,L2-ALL
132,,Property_0132,MN,Minnesota,Brainerd,15120.0,2016-04-20 00:00:00,4328571.0,7.000000693069376,1,6,0,6,L2-ALL
133,,Property_0133,GA,Georgia,Carrollton,10125.0,2016-04-18 00:00:00,2500000.0,7.726439999999998,1,6,0,6,L2-ALL
134,,Property_0134,AR,Arkansas,Conway,13905.0,2014-12-15 00:00:00,4010000.0,6.857855361596011,1,6,0,7,L2-ALL
135,15.0,Property_0135,OR,Oregon,Cornelius,14500.0,2016-12-29 00:00:00,5571820.0,6.150001256321992,1,6,0,7,L2-ALL
136,,Property_0136,TX,Texas,Corpus Christi,13500.0,2014-10-02 00:00:00,2950000.0,6.904440677966102,1,6,0,7,L2-ALL
137,,Property_0137,FL,Florida,Davie,10908.0,2015-10-01 00:00:00,3515000.0,6.811692745376956,1,6,0,7,L2-ALL
138,,Property_0138,IL,Illinois,Dekalb,13905.0,2016-04-21 00:00:00,3580000.0,6.899441340782122,1,6,0,6,L2-ALL
139,,Property_0139,IA,Iowa,Des Moines,13905.0,2015-07-31 00:00:00,4442857.0,7.0000002250803925,1,6,0,7,L2-ALL
14,57.0,Property_0014,KS,Kansas,Topeka,13905.0,2015-10-29 00:00:00,3532846.0,6.370501289894889,1,6,0,5,L2-ALL
140,,Property_0140,MO,Missouri,Florissant,13905.0,2015-03-19 00:00:00,4485714.0,7.000000445859901,1,6,0,7,L2-ALL
141,,Property_0141,MO,Missouri,Florissant,15120.0,2015-12-23 00:00:00,5292308.0,6.499999622093046,1,6,0,7,L2-ALL
142,,Property_0142,TX,Texas,Fort Worth,13905.0,2014-12-23 00:00:00,5125000.0,7.2195121951219505,1,6,0,7,L2-ALL
143,,Property_0143,TX,Texas,Galveston,13500.0,2015-02-02 00:00:00,3000000.0,6.496,1,6,0,7,L2-ALL
144,,Property_0144,FL,Florida,Gulfport,14725.0,2014-02-06 00:00:00,3577378.0,7.4747482653496515,1,6,0,7,L2-ALL
145,,Property_0145,FL,Florida,Haines City,10908.0,2016-05-02 00:00:00,4008431.0,7.085964558202448,1,6,0,5,L2-ALL
146,,Property_0146,NM,New Mexico,Hobbs,14000.0,2014-10-17 00:00:00,1725000.0,6.898550724637681,1,6,0,7,L2-ALL
147,,Property_0147,TX,Texas,Houston,10908.0,2015-12-11 00:00:00,3070000.0,6.5342671009772,1,6,0,5,L2-ALL
148,,Property_0148,WA,Washington,Lakewood,13905.0,2015-11-12 00:00:00,4455000.0,6.8,1,6,0,6,L2-ALL
149,,Property_0149,CT,Connecticut,Meriden,15120.0,2014-04-09 00:00:00,5820000.0,6.695360824742267,1,6,0,7,L2-ALL
15,60.0,Property_0015,WI,Wisconsin,Madison,12544.0,2015-12-10 00:00:00,2692307.0,6.500000185714333,1,6,0,5,L2-ALL
150,,Property_0150,IL,Illinois,Oak Forest,15120.0,2014-12-10 00:00:00,4924000.0,7.001137286758732,1,6,0,7,L2-ALL
151,,Property_0151,OK,Oklahoma,Oklahoma City,14850.0,2014-11-18 00:00:00,3296739.0,6.900000272997044,1,6,0,7,L2-ALL
152,,Property_0152,SC,South Carolina,Rock Hill,13905.0,2014-09-26 00:00:00,4725000.0,7.206582010582011,1,6,0,7,L2-ALL
153,,Property_0153,TX,Texas,San Antonio,13905.0,2014-11-14 00:00:00,3825000.0,6.65257516339869,1,6,0,6,L2-ALL
154,,Property_0154,TX,Texas,San Antonio,13000.0,2015-07-03 00:00:00,2750000.0,6.830909090909089,1,6,0,5,L2-ALL
155,,Property_0155,OK,Oklahoma,Sapulpa,13905.0,2014-11-18 00:00:00,3820724.0,6.900001151614196,1,6,0,7,L2-ALL
156,227.0,Property_0156,KS,Kansas,Shawnee,15120.0,2015-07-09 00:00:00,5449217.0,6.900073900525524,1,6,0,7,L2-ALL
157,,Property_0157,AR,Arkansas,Sherwood,13905.0,2014-09-23 00:00:00,3382351.0,6.800003902610929,1,6,0,6,L2-ALL
158,14.0,Property_0158,OR,Oregon,Springfield,14490.0,2015-10-01 00:00:00,5893266.0,6.000000678740785,1,6,0,7,L2-ALL
159,,Property_0159,MO,Missouri,Saint Louis,15120.0,2015-12-23 00:00:00,5161538.0,6.500000581222108,1,6,0,7,L2-ALL
16,61.0,Property_0016,WI,Wisconsin,Franklin,15120.0,2015-01-29 00:00:00,3895883.0,6.850000372187768,1,6,0,7,L2-ALL
160,,Property_0160,KS,Kansas,Topeka,13905.0,2014-05-01 00:00:00,3575000.0,7.219804195804197,1,6,0,7,L2-ALL
161,,Property_0161,ID,Idaho,Twin Falls,13650.0,2014-02-06 00:00:00,4418750.0,6.291371994342292,1,6,0,7,L2-ALL
162,,Property_0162,AR,Arkansas,West Memphis,13500.0,2014-02-06 00:00:00,1940000.0,8.176546391752577,1,6,0,7,L2-ALL
163,149.0,Property_0163,IL,Illinois,Waterloo,14490.0,2019-01-31 00:00:00,3715000.0,7.2005394347240905,1,6,0,5,L2-ALL
164,151.0,Property_0164,TN,Tennessee,Harriman,14820.0,2019-01-31 00:00:00,4827338.0,6.9500001864381575,1,6,0,5,L2-ALL
165,150.0,Property_0165,OH,Ohio,Galloway,14820.0,2019-01-31 00:00:00,4673000.0,6.950567087524075,1,6,0,5,L2-ALL
166,152.0,Property_0166,TX,Texas,Schertz,15120.0,2019-01-31 00:00:00,3760000.0,7.047872340425531,1,6,0,5,L2-ALL
167,153.0,Property_0167,MO,Missouri,Kirksville,14820.0,2019-02-27 00:00:00,4432773.0,7.14000017596209,1,6,0,5,L2-ALL
168,162.0,Property_0168,FL,Florida,Orange Park,10908.0,2019-03-21 00:00:00,3607111.0,6.7500002079226284,1,6,0,5,L2-ALL
169,164.0,Property_0169,LA,Louisiana,Sulphur,14820.0,2019-03-27 00:00:00,4027338.0,6.950000223472676,1,400,0,5,L2-ALL
17,62.0,Property_0017,TX,Texas,Houston,13500.0,2015-01-29 00:00:00,2487500.0,6.72964824120603,1,6,0,7,L2-ALL
170,161.0,Property_0170,WI,Wisconsin,Mukwonago,63949.0,2019-04-02 00:00:00,11300000.0,7.256619469026548,1,6,0,5,L2-ALL
171,160.0,Property_0171,NC,North Carolina,Sunset Beach,14560.0,2019-04-05 00:00:00,5000000.0,6.7000008,1,6,0,5,L2-ALL
172,156.0,Property_0172,IA,Iowa,Dubuque,77393.0,2019-04-05 00:00:00,6425000.0,7.267968871595331,1,6,0,5,L2-ALL
174,155.0,Property_0174,WI,Wisconsin,Greenfield,16940.0,2019-04-23 00:00:00,5100000.0,7.352941176470589,1,6,0,5,L2-ALL
175,158.0,Property_0175,TX,Texas,El Paso,13450.0,2019-04-26 00:00:00,2850000.0,6.844736842105263,1,6,0,5,L2-ALL
176,163.0,Property_0176,NM,New Mexico,Albuquerque,15525.0,2019-04-29 00:00:00,2855000.0,6.843222416812609,1,6,0,5,L2-ALL
177,157.0,Property_0177,KS,Kansas,Andover,14490.0,2019-04-29 00:00:00,3900000.0,7.641024615384616,1,6,0,5,L2-ALL
178,165.0,Property_0178,GA,Georgia,Perry,10125.0,2019-05-07 00:00:00,2908000.0,7.08878954607978,1,6,0,5,L2-ALL
179,166.0,Property_0179,AZ,Arizona,Phoenix,15120.0,2019-05-09 00:00:00,4000000.0,7.155150000000001,1,6,0,5,L2-ALL
18,63.0,Property_0018,SC,South Carolina,Batesburg,10752.0,2016-03-11 00:00:00,2150000.0,6.195813953488372,1,6,0,5,L2-ALL
180,,Property_0180,AZ,Arizona,Oro Valley,14844.0,,1310000.0,,1,6,0,6,L2-ALL
182,167.0,Property_0182,KS,Kansas,Topeka,13861.0,2019-06-10 00:00:00,3328000.0,6.850961538461539,1,6,0,5,L2-ALL
183,172.0,Property_0183,NC,North Carolina,Salisbury,14820.0,2019-06-10 00:00:00,4444444.0,6.750000675000067,1,6,0,5,L2-ALL
184,169.0,Property_0184,TX,Texas,Abilene,15120.0,2019-06-12 00:00:00,4742857.14,7.000000004216868,1,6,0,5,L2-ALL
185,173.0,Property_0185,TX,Texas,San Antonio,13905.0,2019-06-19 00:00:00,3635157.14,7.000000005501825,1,6,0,5,L2-ALL
186,174.0,Property_0186,WA,Washington,Lakewood,13905.0,2019-06-19 00:00:00,4327714.29,6.999999993067934,1,6,0,5,L2-ALL
187,175.0,Property_0187,MO,Missouri,Springfield,13500.0,2019-06-28 00:00:00,2875000.0,7.0434782608695645,1,6,0,5,L2-ALL
188,86.0,Property_0188,TX,Texas,Burleson,11200.0,2018-04-19 00:00:00,4353106.0,6.988527272251124,1,6,0,5,L2-ALL
189,146.0,Property_0189,SC,South Carolina,Columbia,10125.0,2018-11-19 00:00:00,3100000.0,7.436967741935485,1,6,0,5,L2-ALL
19,64.0,Property_0019,TX,Texas,Garland,11500.0,2016-05-18 00:00:00,3350000.0,6.387488059701493,1,6,0,5,L2-ALL
190,176.0,Property_0190,KY,Kentucky,Lexington,63293.0,2019-07-05 00:00:00,6950000.0,7.400287769784172,1,6,0,5,L2-ALL
191,177.0,Property_0191,TX,Texas,Arlington,13905.0,2019-07-10 00:00:00,3750000.0,6.959999999999999,1,6,0,5,L2-ALL
192,11.0,Property_0192,AR,Arkansas,Sherwood,13905.0,2019-07-15 00:00:00,3230000.0,7.120743034055728,1,6,0,5,L2-ALL
193,178.0,Property_0193,OK,Oklahoma,Oklahoma City,15120.0,2019-07-23 00:00:00,4500000.0,6.833333333333333,1,6,0,5,L2-ALL
194,179.0,Property_0194,IL,Illinois,Moline,70295.0,2019-07-25 00:00:00,4000000.0,6.961475,1,6,0,5,L2-ALL
195,180.0,Property_0195,TX,Texas,Coppell,63508.0,2019-08-13 00:00:00,7800000.0,6.955204615384616,1,6,0,7,L2-ALL
196,183.0,Property_0196,NC,North Carolina,Wilson,14490.0,2019-08-14 00:00:00,4243500.0,7.000000000000001,1,6,0,5,L2-ALL
197,184.0,Property_0197,FL,Florida,Melbourne,13905.0,2019-09-03 00:00:00,4050000.0,6.617283950617284,1,6,0,5,L2-ALL
198,185.0,Property_0198,AL,Alabama,Tuscaloosa,10055.0,2019-09-10 00:00:00,2597898.0,7.106976486374753,1,6,0,5,L2-ALL
199,186.0,Property_0199,KY,Kentucky,Louisville,9500.0,2019-09-24 00:00:00,800000.0,6.9033750000000005,1,6,0,5,L2-ALL
2,44.0,Property_0002,AZ,Arizona,Glendale,13500.0,2014-05-09 00:00:00,3225000.0,7.074418604651163,1,6,0,5,L2-ALL
20,65.0,Property_0020,DE,Delaware,Hockessin,12000.0,2016-06-24 00:00:00,5483400.0,7.830178356494145,1,6,0,5,L2-ALL
201,187.0,Property_0201,FL,Florida,Palmetto,10125.0,2019-09-25 00:00:00,3250000.0,6.860307692307692,1,6,0,5,L2-ALL
203,188.0,Property_0203,TX,Texas,Missouri City,15950.0,2019-10-02 00:00:00,2125000.0,7.15764705882353,1,6,0,5,L2-ALL
204,189.0,Property_0204,IL,Illinois,O Fallon,13905.0,2019-10-17 00:00:00,3280000.0,7.009146341463415,1,6,0,5,L2-ALL
205,190.0,Property_0205,TN,Tennessee,Hermitage,14500.0,2019-10-25 00:00:00,4325000.0,6.9364161849710975,1,6,0,5,L2-ALL
206,196.0,Property_0206,WI,Wisconsin,Madison,19633.0,2019-11-19 00:00:00,3425000.0,6.942334598540145,1,6,0,5,L2-ALL
207,200.0,Property_0207,AZ,Arizona,Casa Grande,13813.0,2019-11-22 00:00:00,4715000.0,7.047380699893956,1,6,0,5,L2-ALL
208,201.0,Property_0208,TX,Texas,League City,13905.0,2019-12-05 00:00:00,2871682.0,6.899999373189649,1,6,0,5,L2-ALL
209,204.0,Property_0209,OK,Oklahoma,Edmond,13905.0,2019-12-05 00:00:00,3423913.0,6.900000087619048,1,6,0,5,L2-ALL
21,66.0,Property_0021,TX,Texas,Spring,14490.0,2016-08-12 00:00:00,5725000.0,7.109240174672489,1,6,0,5,L2-ALL
210,203.0,Property_0210,TX,Texas,Coppell,13905.0,2019-12-05 00:00:00,3496405.0,6.900001573044312,1,6,0,5,L2-ALL
211,207.0,Property_0211,TX,Texas,Irving,13905.0,2019-12-05 00:00:00,3502174.0,6.899999828677844,1,6,0,5,L2-ALL
212,208.0,Property_0212,TX,Texas,Irving,13905.0,2019-12-05 00:00:00,3330217.0,6.9000008107579776,1,6,0,5,L2-ALL
213,205.0,Property_0213,TX,Texas,Grand Prairie,13905.0,2019-12-05 00:00:00,3234421.0,6.8999984850457015,1,6,0,5,L2-ALL
214,206.0,Property_0214,TX,Texas,Grand Prairie,13905.0,2019-12-05 00:00:00,3415797.0,6.90000020493021,1,6,0,5,L2-ALL
215,202.0,Property_0215,TX,Texas,Cedar Hill,13905.0,2019-12-05 00:00:00,3695652.0,6.900000324705897,1,6,0,5,L2-ALL
216,209.0,Property_0216,MS,Mississippi,Olive Branch,14490.0,2019-12-18 00:00:00,4668015.0,6.500000535559546,1,6,0,5,L2-ALL
217,210.0,Property_0217,CO,Colorado,Colorado Springs,14490.0,2020-01-14 00:00:00,5325000.0,6.474478873239437,1,6,0,5,L2-ALL
218,212.0,Property_0218,RI,Rhode Island,Warwick,56216.0,2020-02-07 00:00:00,12400000.0,9.061120161370969,1,6,1,5,L2-ALL
219,216.0,Property_0219,IL,Illinois,Dekalb,13905.0,2020-02-28 00:00:00,3454545.0,7.150000940789597,1,6,0,5,L2-ALL
22,67.0,Property_0022,TX,Texas,Lufkin,15795.0,2016-08-30 00:00:00,5175000.0,7.053140096618357,1,6,0,5,L2-ALL
220,218.0,Property_0220,MN,Minnesota,Brainerd,15120.0,2020-02-28 00:00:00,4108351.0,7.3752218347458625,1,6,0,5,L2-ALL
221,214.0,Property_0221,GA,Georgia,Carrollton,10125.0,2020-02-28 00:00:00,2500000.0,7.958245999999999,1,6,0,5,L2-ALL
222,224.0,Property_0222,TX,Texas,Dallas,37000.0,2020-03-09 00:00:00,12800000.0,7.31328125,3,6,0,5,L2B
223,228.0,Property_0223,VT,Vermont,Bennington,14572.0,2020-03-24 00:00:00,4670000.0,6.84924068522484,1,6,0,5,L2-ALL
224,230.0,Property_0224,IL,Illinois,Rock Island,13905.0,2020-04-20 00:00:00,4051538.0,6.501234839707784,1,6,0,5,L2-ALL
225,231.0,Property_0225,FL,Florida,Deltona,13000.0,2020-04-21 00:00:00,5110000.0,6.599373776908024,1,6,0,5,L2-ALL
226,233.0,Property_0226,FL,Florida,Miami,15254.0,2016-07-08 00:00:00,3400000.0,9.182763529411764,1,6,0,7,L2-ALL
227,234.0,Property_0227,FL,Florida,Miami,12957.82,2016-07-08 00:00:00,500000.0,,1,6,0,7,L2-ALL
228,237.0,Property_0228,IN,Indiana,Evansville,55888.0,2020-05-15 00:00:00,3075000.0,7.383414634146343,1,6,0,5,L2-ALL
229,238.0,Property_0229,IN,Indiana,Vincennes,14850.0,2020-05-28 00:00:00,3100000.0,6.903225806451613,1,6,0,5,L2-ALL
23,68.0,Property_0023,CO,Colorado,Lafayette,15120.0,2016-10-07 00:00:00,4680571.0,6.309422504220104,1,6,0,5,L2-ALL
230,239.0,Property_0230,IL,Illinois,Bolingbrook,13905.0,2020-06-03 00:00:00,4222222.0,6.750000355263176,1,6,0,5,L2-ALL
231,240.0,Property_0231,OK,Oklahoma,Broken Arrow,14560.0,2020-06-09 00:00:00,4740000.0,6.7510548523206735,1,6,0,5,L2-ALL
232,243.0,Property_0232,IL,Illinois,Buffalo Grove,15120.0,2020-06-15 00:00:00,4570000.0,7.00218818380744,1,6,0,5,L2-ALL
233,242.0,Property_0233,IN,Indiana,Indianapolis,13500.0,2020-06-19 00:00:00,2440000.0,7.593729508196722,1,6,0,5,L2-ALL
234,244.0,Property_0234,MO,Missouri,Liberty,13905.0,2020-06-25 00:00:00,4653114.0,7.254711575946774,1,6,0,5,L2-ALL
235,245.0,Property_0235,IL,Illinois,Bannockburn,13000.0,2020-07-23 00:00:00,2800000.0,6.785714285714286,1,6,0,5,L2-ALL
236,246.0,Property_0236,TX,Texas,Lufkin,10908.0,2020-07-28 00:00:00,3635000.0,6.772407152682256,1,6,0,5,L2-ALL
237,249.0,Property_0237,KY,Kentucky,Louisville,84580.0,2020-07-30 00:00:00,7360000.0,7.084428260869566,1,6,1,5,L2-ALL
238,247.0,Property_0238,PA,Pennsylvania,Bethel Park,10046.0,2020-07-31 00:00:00,4250000.0,6.450001176470588,1,6,0,5,L2-ALL
239,251.0,Property_0239,AL,Alabama,Florence,14820.0,2020-08-26 00:00:00,4569474.0,6.649999540428504,1,6,0,5,L2-ALL
24,69.0,Property_0024,TN,Tennessee,Chattanooga,10055.0,2016-10-10 00:00:00,3400000.0,6.7820294117647055,1,6,0,5,L2-ALL
240,252.0,Property_0240,TX,Texas,Houston,14490.0,2020-09-04 00:00:00,4244000.0,6.7507068803016015,1,6,0,5,L2-ALL
241,253.0,Property_0241,WI,Wisconsin,Portage,14490.0,2020-09-11 00:00:00,4360000.0,6.651376146788992,1,6,0,5,L2-ALL
242,254.0,Property_0242,NC,North Carolina,Angier,9804.0,2020-09-30 00:00:00,2025000.0,6.91358024691358,1,6,0,5,L2-ALL
243,255.0,Property_0243,WI,Wisconsin,Franklin,15120.0,2020-10-07 00:00:00,3812400.0,7.000000000000001,1,6,0,5,L2-ALL
244,256.0,Property_0244,NC,North Carolina,Rocky Mount,10125.0,2020-10-07 00:00:00,3952609.0,6.59200644435106,1,6,0,5,L2-ALL
245,257.0,Property_0245,TX,Texas,Dallas,13905.0,2020-10-07 00:00:00,3578485.0,6.800000558895734,1,6,0,5,L2-ALL
246,258.0,Property_0246,TX,Texas,Houston,13905.0,2020-10-21 00:00:00,2450000.0,6.83265306122449,1,6,0,5,L2-ALL
247,259.0,Property_0247,TX,Texas,Arlington,13905.0,2020-10-29 00:00:00,4237000.0,6.400684446542365,1,6,0,5,L2-ALL
248,260.0,Property_0248,KS,Kansas,Wichita,15120.0,2020-10-30 00:00:00,4500000.0,6.5266666666666655,1,6,0,5,L2-ALL
25,87.0,Property_0025,KY,Kentucky,Shelbyville,14820.0,2017-05-01 00:00:00,4700000.0,6.382978723404255,1,6,0,5,L2-ALL
250,261.0,Property_0250,AR,Arkansas,Benton,14490.0,2020-11-20 00:00:00,5935000.0,6.200505475989891,1,6,0,5,L2-ALL
251,262.0,Property_0251,IL,Illinois,Moline,70000.0,2020-11-20 00:00:00,7802000.0,7.357986413740066,1,6,0,5,L2-ALL
252,262.0,Property_0252,AR,Arkansas,Jonesboro,14490.0,2020-11-20 00:00:00,5538000.0,6.5005417118093165,1,6,0,5,L2-ALL
253,265.0,Property_0253,WI,Wisconsin,Pewaukee,14725.0,2020-11-25 00:00:00,4828000.0,6.300994200497101,1,6,0,5,L2-ALL
254,263.0,Property_0254,WI,Wisconsin,Racine,15680.0,2020-12-01 00:00:00,6578000.0,6.1568865916692,1,6,0,5,L2-ALL
255,264.0,Property_0255,IL,Illinois,Springfield,14820.0,2020-12-01 00:00:00,4285714.0,6.300000420000028,1,6,0,5,L2-ALL
256,266.0,Property_0256,TX,Texas,Pearland,14490.0,2020-12-01 00:00:00,5400000.0,6.018518518518518,1,6,0,5,L2-ALL
257,268.0,Property_0257,NE,Nebraska,Papillion,14189.0,2020-12-07 00:00:00,5250000.0,6.0,1,6,0,5,L2-ALL
258,267.0,Property_0258,LA,Louisiana,Slidell,14560.0,2020-12-07 00:00:00,4400000.0,6.25,1,6,0,5,L2-ALL
259,271.0,Property_0259,IN,Indiana,Greenwood,18750.0,2020-12-09 00:00:00,2000000.0,9.425004,1,6,0,5,L2-ALL
26,123.0,Property_0026,FL,Florida,Navarre,11200.0,2018-06-25 00:00:00,3600000.0,6.543444444444445,1,6,0,5,L2-ALL
260,270.0,Property_0260,TX,Texas,Alvin,10906.0,2020-12-09 00:00:00,2500000.0,7.628942399999999,1,6,0,5,L2-ALL
261,269.0,Property_0261,TX,Texas,Cedar Park,19200.0,2020-12-09 00:00:00,4200000.0,6.346668571428572,1,6,0,5,L2-ALL
262,272.0,Property_0262,OH,Ohio,Canal Winchester,11252.0,2020-12-09 00:00:00,2600000.0,5.336307692307693,1,6,0,5,L2-ALL
263,278.0,Property_0263,TX,Texas,Missouri City,10929.0,2020-12-09 00:00:00,3100000.0,6.279112258064516,1,6,0,5,L2-ALL
264,277.0,Property_0264,TN,Tennessee,Knoxville,10722.0,2020-12-09 00:00:00,2050000.0,7.688271219512195,1,6,0,5,L2-ALL
265,276.0,Property_0265,MI,Michigan,Grand Rapids,13500.0,2020-12-09 00:00:00,4450000.0,5.051393258426966,1,6,0,5,L2-ALL
266,275.0,Property_0266,GA,Georgia,Smyrna,10125.0,2020-12-09 00:00:00,2900000.0,7.565772413793103,1,6,0,5,L2-ALL
267,274.0,Property_0267,AL,Alabama,Tuscaloosa,10195.0,2020-12-09 00:00:00,2500000.0,6.84,1,6,0,5,L2-ALL
268,273.0,Property_0268,FL,Florida,Milton,19097.0,2020-12-09 00:00:00,5100000.0,5.100941176470588,1,6,0,5,L2-ALL
269,279.0,Property_0269,NH,New Hampshire,Manchester,13905.0,2020-12-15 00:00:00,3905000.0,6.299615877080666,1,6,0,5,L2-ALL
27,88.0,Property_0027,MO,Missouri,Independence,18000.0,2015-05-28 00:00:00,4675000.0,6.499721925133691,1,6,0,5,L2-ALL
270,283.0,Property_0270,OH,Ohio,Sandusky,10125.0,2020-12-17 00:00:00,2682000.0,7.421625652498136,1,6,0,5,L2-ALL
271,287.0,Property_0271,MI,Michigan,Kalamazoo,13575.0,2020-12-18 00:00:00,5123077.0,6.499999902402403,1,6,0,5,L2-ALL
272,284.0,Property_0272,CA,California,Yucca Valley,14490.0,2020-12-18 00:00:00,3600000.0,7.342694444444445,1,6,0,5,L2-ALL
273,288.0,Property_0273,LA,Louisiana,Kenner,15799.0,2020-12-22 00:00:00,5000000.0,7.249999999999998,1,6,0,5,L2-ALL
274,290.0,Property_0274,OH,Ohio,Dayton,13905.0,2020-12-23 00:00:00,3575000.0,7.001118881118881,1,6,0,5,L2-ALL
275,262.0,Property_0275,NC,North Carolina,Raleigh,14560.0,2020-12-23 00:00:00,5354000.0,6.324243556219648,1,6,0,5,L2-ALL
